isolate_code,AM,AMC,AN,C,CF,CFO,CFT,CN,CPD,CPT,CTX,CZA,DO,ENR,FT,GM,IPM,MRB,N,PRA,SXT,TE
EC_OLDWR3C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLDWR3C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLDWR3C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLDWR3C7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLDWR3C17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SALOLDWR2C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SALOLDWR2C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SALOLDWR3C1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SALOLDWR3C7,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
EC_OLRWR1C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLRWR1C4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
EC_OLRWR2C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLRWR2C7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLRWR3C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SALOLRWR1C2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SALOLRWR2C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SALOLRWR2C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EC_OLFBR1C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR1C2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EC_OLFBR1C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR1C6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR1C9,2,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2
EC_OLFBR1C12,2,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2
EC_OLFBR1C15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR2C6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR2C9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR2C12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR2C15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR3C6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EC_OLFBR3C9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR3C10,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,2
EC_OLFBR3C11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR3C13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC_OLFBR3C14,0,0,0,0,0,,,,0,,,0,,,0,0,0,0,0,0,0,0
EC_OLFBR3C15,0,0,0,0,0,0,,,0,,0,0,,,0,0,0,0,0,0,0,0
SALOLFBR3C5,0,0,2,0,2,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0
