isolate_code,species,region,site,environment,sampling_source,esbl,num_antibiotics_tested,num_resistant,MAR_index,MDR_flag
EC_OLDWR3C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLDWR3C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLDWR3C4,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLDWR3C7,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLDWR3C17,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
SALOLDWR2C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,1,0.0455,0
SALOLDWR2C3,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,1,0.0455,0
SALOLDWR3C1,Salmonella Group,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,,22,4,0.1818,1
SALOLDWR3C7,Salmonella Group,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,,22,4,0.1818,1
EC_OLRWR1C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLRWR1C4,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,3,0.1364,1
EC_OLRWR2C6,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLRWR2C7,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OLRWR3C3,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
SALOLRWR1C2,Salmonella Group,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,,22,4,0.1818,1
SALOLRWR2C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,1,0.0455,0
SALOLRWR2C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OLFBR1C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLFBR1C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,3,0.1364,1
EC_OLFBR1C4,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLFBR1C6,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OLFBR1C9,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,4,0.1818,1
EC_OLFBR1C12,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,4,0.1818,1
EC_OLFBR1C15,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLFBR2C6,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLFBR2C9,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLFBR2C12,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLFBR2C15,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLFBR3C6,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OLFBR3C9,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLFBR3C10,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,4,0.1818,1
EC_OLFBR3C11,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLFBR3C13,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OLFBR3C14,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,15,0,0.0,0
EC_OLFBR3C15,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,17,0,0.0,0
SALOLFBR3C5,Salmonella Group,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,,22,4,0.1818,1
SGOLFBR2C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,4,0.1818,1
SGOLFBR2C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,2,0.0909,0
SGOLFBR2C5,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,4,0.1818,1
VCOLFBR2C1,Enterobacter Cloacae Complex,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,19,3,0.1579,1
EC_OLFGR1C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,0,0.0,0
EC_OLFGR1C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,2,0.0909,0
EC_OLFGR1C8,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,20,1,0.05,0
EC_OLFGR1C10,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,16,1,0.0625,0
EC_OLFGR1C14,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,16,0,0.0,0
EC_OLFGR2C1,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,POS,19,8,0.4211,1
EC_OLFGR3C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,2,0.0909,0
EC_OLFGR3C8,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-LARRAZABAL,Unknown,Unknown,NEG,22,3,0.1364,1
EC_OADWR1C3,Enterobacter Cloacae Complex,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,,20,3,0.15,1
EC_OADWR1C4,Enterobacter Cloacae Complex,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,,20,3,0.15,1
EC_OADWR1C5,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OADWR1C6,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OADWR1C9,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
VCOADWR3C17,Vibrio Fluvialis,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,13,2,0.1538,0
VCOADWR3C31,Vibrio Fluvialis,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,13,0,0.0,0
EC_OARWR1C3,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OARWR1C7,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OARWR1C8,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OARWR1C9,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OARWR1C10,Enterobacter Cloacae Complex,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,,20,3,0.15,1
EC_OARWR2C3,Enterobacter Cloacae Complex,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,,20,3,0.15,1
EC_OARWR2C5,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OARWR3C1,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OARWR3C9,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OARWR3C10,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,2,0.0909,0
VCOARWR3C14,Vibrio Fluvialis,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,13,0,0.0,0
EC_OAFBR1C11,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFBR1C18,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFBR2C5,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFBR2C8,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFBR2C14,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,4,0.1818,1
EC_OAFBR2C15,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFBR3C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,2,0.0909,0
EC_OAFBR3C2,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFBR3C4,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFBR3C6,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,3,0.1364,1
EC_OAFBR3C7,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFBR3C8,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFBR3C16,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFBR3C18,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFGR1C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR1C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR1C6,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,2,0.0909,0
EC_OAFGR1C8,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR1C10,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR1C11,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR1C14,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR1C16,Klebsiella Pneumoniae Ssp Ozaenae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFGR2C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR2C4,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR2C5,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFGR2C6,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR2C7,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR3C1,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR3C2,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,21,4,0.1905,1
EC_OAFGR3C3,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,2,0.0909,0
EC_OAFGR3C4,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,2,0.0909,0
EC_OAFGR3C6,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR3C7,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR3C8,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR3C9,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,0,0.0,0
EC_OAFGR3C13,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFGR3C14,Escherichia Coli,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,2,0.0909,0
EC_OAFGR3C15,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_OAFGR3C16,Klebsiella Pneumoniae Ssp Pneumoniae,Region VIII-Eastern Visayas,LOR-ALEGRIA,Unknown,Unknown,NEG,22,1,0.0455,0
EC_MRDWR1C1,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,5,0.2273,1
EC_MRDWR1C2,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,3,0.1364,1
EC_MRDWR3C14,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
VC_MRDWR1C1,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
VC_MRDWR2C2,Enterobacter Cloacae Complex,BARMM Region,LOR-GADONGAN,Unknown,Unknown,,19,3,0.1579,1
EC_MRLWR1C3,Escherichia Coli,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,2,0.0909,0
EC_MRLWR1C4,Escherichia Coli,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,0,0.0,0
EC_MRLWR1C6,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
EC_MRLWR1C9,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
EC_MRLWR1C10,Escherichia Coli,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,0,0.0,0
EC_MRLWR1C11,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
EC_MRLWR1C13,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
EC_MRLWR1C16,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
EC_MRLWR1C20,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
EC_MRLWR2C1,Escherichia Coli,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,0,0.0,0
EC_MRLWR2C3,Escherichia Coli,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,2,0.0909,0
EC_MRLWR2C7,Escherichia Coli,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,19,3,0.1579,1
EC_MRLWR2C10,Escherichia Coli,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,4,0.1818,1
EC_MRLWR2C11,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
EC_MRLWR2C17,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
EC_MRLWR3C12,Klebsiella Pneumoniae Ssp Pneumoniae,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,1,0.0455,0
EC_MRLWR3C16,Escherichia Coli,BARMM Region,LOR-GADONGAN,Unknown,Unknown,NEG,22,0,0.0,0
